# Edge events for shell 43бу
# start_epoch, end_epoch, satellite_i, satellite_j
0 120 1266 1429
0 120 1312 2070
0 120 2657 2677
0 120 2082 2217
0 120 528 1436
0 120 2780 2784
0 120 1314 2116
0 120 1783 3089
38 38 1088 1544
0 120 1122 1128
0 120 110 1862
0 120 416 2134
0 120 538 848
0 120 44 47
0 120 1052 1069
5 6 718 1718
99 100 718 1718
0 120 1506 3225
0 120 277 2204
0 120 604 2370
0 120 645 2371
0 120 134 2192
0 120 228 3251
0 120 273 284
0 120 2444 2461
0 120 2617 2618
0 120 1495 1760
0 120 1748 1940
0 120 1359 2882
0 120 1973 2287
0 120 3146 3147
0 120 1513 2302
34 36 718 1839
0 120 554 913
0 120 2744 2844
0 120 1283 3008
0 120 2747 2849
16 18 1544 2820
110 112 1544 2820
0 120 1459 2187
0 120 693 3179
0 120 208 1215
0 120 459 797
0 120 15 1049
0 120 540 1688
0 120 519 811
14 15 393 443
108 109 393 443
0 120 1188 2892
0 120 904 918
0 120 164 2340
0 120 1251 2423
14 15 217 2203
109 109 217 2203
0 120 2104 2110
0 120 247 1557
0 120 552 1927
0 120 2518 2918
0 120 355 861
0 120 2318 2335
0 120 2897 2914
0 120 509 510
0 120 2100 2112
0 120 697 3190
0 120 398 413
91 91 714 2376
0 120 511 2276
0 120 2436 2475
0 120 579 1922
65 66 307 2217
0 120 852 2017
0 120 654 1507
0 120 1447 3129
0 120 1743 1959
0 120 1531 1551
0 120 2751 2752
0 120 2305 3160
69 69 846 1448
0 120 1176 3080
0 120 1477 3008
0 120 2514 2516
0 120 1633 2767
0 120 3204 3222
0 120 494 996
0 120 1378 2248
0 120 600 3149
0 120 2816 2817
0 120 125 2856
15 15 755 2205
109 110 755 2205
67 69 220 649
0 120 2809 2814
0 120 641 642
0 120 61 67
0 120 228 244
0 120 1088 1102
0 120 730 1394
0 120 339 3229
0 120 423 2634
0 120 743 1858
0 120 933 935
0 120 1585 2847
0 120 821 2451
0 120 1674 2367
0 120 1182 1676
0 120 2804 2820
93 95 508 648
0 120 418 1923
66 68 1485 2616
0 120 1225 1228
0 120 1383 2568
0 120 794 2439
37 38 651 2390
0 120 23 835
0 120 589 1512
0 120 1881 2027
13 14 713 1053
106 108 713 1053
84 85 1485 1798
0 120 86 2123
0 120 3219 3220
0 120 879 1759
0 120 1811 2722
0 120 2688 2766
0 120 2382 3248
0 120 866 3217
0 120 1511 1972
0 120 2421 2422
84 84 714 2860
61 63 339 1485
0 120 165 2352
109 109 793 1692
0 120 832 2815
0 120 1947 2502
0 120 2208 2543
88 90 1485 1919
0 120 1280 2453
0 120 2472 2589
0 120 887 1475
65 68 713 2342
0 120 2762 2836
0 120 398 3004
0 120 1153 2385
0 120 183 2527
0 120 2554 3072
0 120 1120 1124
0 120 1498 1750
29 31 443 2639
30 32 718 2807
0 120 386 2068
0 120 833 838
0 120 609 1359
0 120 1772 1989
0 120 1939 2920
0 120 911 1926
49 51 718 1760
0 120 890 3035
0 120 379 2065
47 47 1026 1647
0 120 1160 2401
0 120 1767 3079
0 120 977 2694
0 120 1228 2276
0 120 473 1434
0 120 808 1424
0 120 1985 1989
0 120 1300 2115
0 120 500 1308
0 120 819 1290
0 120 425 905
0 120 1228 1229
0 120 478 502
0 120 1152 2402
0 120 1849 2330
0 120 2186 3147
0 120 1704 2915
0 120 1551 2407
0 120 133 733
0 120 1222 1414
0 120 1492 3224
14 16 1374 2451
0 120 2620 2621
0 120 1224 1231
0 120 186 744
0 120 2157 2567
87 89 713 1429
0 120 315 2551
41 41 793 900
0 120 2675 2678
0 120 240 2377
36 39 1742 2510
42 52 1742 2510
55 56 1742 2510
58 60 1742 2510
63 65 1742 2510
75 77 1742 2510
79 79 1742 2510
26 27 713 2597
119 120 713 2597
0 120 2084 2210
0 120 141 1617
0 120 1791 2631
0 120 3188 3199
68 70 1374 1525
0 120 2668 2675
0 120 2654 2740
0 120 417 2720
0 120 2017 2156
0 120 155 734
0 120 258 2138
2 5 640 2203
96 99 640 2203
0 120 277 2151
0 120 2436 2517
0 120 629 2081
0 120 1652 1654
0 120 1643 2359
0 120 65 2682
0 120 779 2254
0 120 3007 3016
0 120 275 277
0 120 591 1974
0 120 1377 2883
0 120 661 3201
0 120 504 1268
0 120 387 3083
0 120 1669 1715
0 120 781 1024
0 120 1481 1893
0 120 2441 2460
0 120 1687 1998
0 120 1761 1947
63 65 651 3129
0 120 1482 3057
0 120 329 863
0 120 1931 2129
0 120 26 825
6 8 1017 2203
100 101 1017 2203
0 120 237 3260
0 120 540 817
0 120 1422 1434
0 120 1365 2886
0 120 135 2983
0 120 1205 1207
0 120 1475 3017
0 120 3073 3087
56 56 525 1448
0 120 105 108
0 120 1646 2347
0 120 655 1972
0 120 779 2267
0 120 818 1441
0 120 1912 2237
29 30 694 1405
0 120 482 997
0 120 2918 2920
0 120 1512 2303
0 120 779 1220
0 120 636 646
0 120 1873 2016
39 44 732 1108
0 120 680 689
0 120 341 3209
0 120 998 1264
0 120 513 2269
0 120 1564 1675
0 120 2870 2879
0 120 743 745
0 120 1782 3066
0 120 462 466
0 120 1069 3130
0 120 2946 3103
0 120 2113 2119
0 120 1492 1506
5 7 1127 3071
99 101 1127 3071
90 92 755 984
0 120 395 412
0 0 823 859
93 94 823 859
0 120 116 2983
0 120 594 1524
0 120 728 1524
0 120 654 1346
0 120 1828 1842
0 120 792 2448
0 120 0 4
15 17 432 1647
110 110 432 1647
0 120 721 1521
0 120 492 2452
0 120 1164 3259
0 120 627 2088
0 120 59 2570
0 120 532 538
0 120 769 2208
0 120 1877 2148
0 120 2743 2757
0 120 451 2276
0 120 511 2815
8 13 392 649
103 106 392 649
0 120 2233 3180
0 120 2004 3128
0 120 261 1886
19 24 557 716
112 118 557 716
0 120 1589 2849
0 120 1964 1972
0 120 278 1072
4 6 713 1229
97 100 713 1229
0 120 398 1891
0 120 1478 3018
0 120 294 3231
0 120 445 1414
21 23 1742 2081
115 118 1742 2081
0 120 173 2712
0 120 1004 2869
0 120 585 3151
0 120 1531 2800
0 120 1732 2790
0 120 157 1132
0 120 381 382
0 120 1308 2462
0 120 1597 2336
0 120 272 1873
0 120 468 1290
0 120 566 1596
0 120 1806 1921
0 120 1376 2862
22 25 651 1640
117 118 651 1640
0 120 178 962
54 56 651 1411
0 120 298 1781
0 120 1296 2115
0 120 1725 1740
0 120 460 1291
82 83 694 963
65 67 1485 1987
0 120 79 1599
0 120 2634 2719
0 120 2570 2963
0 120 2556 3065
0 120 233 3234
0 120 1654 2210
0 120 650 1307
0 120 698 3041
0 120 1782 2624
0 120 849 2419
0 120 3239 3243
0 120 1630 2755
0 120 298 3070
0 120 535 539
0 120 471 783
0 120 1190 1702
0 120 1584 1592
0 120 3216 3232
0 120 1824 2742
0 120 1160 1530
0 120 967 1135
0 120 2076 2963
0 120 786 794
0 120 944 2171
88 89 443 1889
0 120 269 275
0 120 1769 1988
0 120 98 1854
0 120 1311 2113
0 120 1920 1928
0 120 2780 2786
0 120 2047 3164
65 66 1460 1647
0 120 259 267
81 84 1647 3230
0 120 1487 3214
0 120 1349 1523
0 120 277 2206
0 120 249 2144
0 120 2854 2856
