# Edge events for shell 97.5бу
# start_epoch, end_epoch, satellite_i, satellite_j
0 120 557 560
58 85 29 32
0 120 765 854
0 120 163 377
1 12 42 267
15 17 42 267
20 21 42 267
93 107 42 267
109 111 42 267
114 115 42 267
6 6 11 917
100 100 11 917
33 34 29 971
58 58 11 508
2 5 32 222
96 99 32 222
0 120 313 321
0 120 535 959
0 120 188 735
0 120 376 377
0 120 861 863
0 120 751 848
0 120 83 160
0 120 117 567
77 81 15 519
0 120 777 842
14 14 4 626
108 108 4 626
24 26 33 280
118 120 33 280
49 52 13 222
0 120 871 970
0 120 1015 1020
0 120 1037 1038
59 65 27 650
0 120 509 510
14 15 22 126
107 109 22 126
67 68 33 401
0 120 789 793
0 120 679 921
45 47 33 172
0 120 66 169
0 120 909 974
81 84 21 54
0 120 718 1034
0 120 471 748
17 17 22 656
0 120 247 1040
0 120 682 931
0 120 110 131
0 120 910 975
0 120 556 563
40 42 33 293
5 6 11 125
99 99 11 125
0 120 764 857
0 120 675 928
56 56 15 244
0 120 105 812
0 120 861 938
0 120 287 294
0 120 279 290
0 120 298 303
0 120 449 472
0 120 236 1002
0 120 228 244
32 32 27 74
54 54 42 993
47 54 18 370
0 120 637 1058
0 120 276 298
0 120 116 654
0 120 460 464
39 44 11 488
0 120 121 131
0 120 214 322
46 47 32 431
0 120 887 945
0 120 1044 1045
0 120 791 828
0 120 763 766
0 120 624 836
55 56 23 89
0 120 159 1002
81 84 27 208
0 120 486 493
0 120 538 540
0 120 636 1075
0 23 29 254
25 26 29 254
30 30 29 254
34 34 29 254
36 36 29 254
39 39 29 254
48 49 29 254
52 117 29 254
119 120 29 254
0 120 260 266
0 120 603 605
0 120 833 838
0 120 253 263
0 120 25 256
0 120 313 314
51 53 29 375
0 120 1054 1071
89 90 6 391
0 120 378 379
0 120 0 842
0 120 9 24
44 44 27 450
69 74 11 442
0 120 940 942
0 120 725 1017
0 120 379 380
0 120 225 322
0 120 257 274
0 120 821 1070
0 120 119 569
33 35 6 512
0 120 456 748
87 89 4 30
0 120 346 962
0 120 198 798
65 71 33 93
43 44 13 35
70 73 42 443
0 120 430 439
0 120 192 1025
0 120 184 1021
0 120 456 460
0 120 874 973
14 18 33 214
108 112 33 214
0 120 511 512
0 120 194 805
13 18 21 505
107 111 21 505
0 120 719 1035
0 120 1065 1071
0 120 201 737
0 120 527 870
53 54 33 335
0 120 267 273
0 120 426 446
0 120 38 41
0 120 763 854
0 120 1 302
0 120 49 50
47 50 42 276
0 120 330 334
0 120 632 635
0 120 772 795
0 120 469 757
1 2 6 767
95 96 6 767
0 120 334 340
83 84 6 129
64 69 22 482
0 120 701 1036
0 120 186 819
76 79 13 519
0 120 136 998
0 120 235 711
0 120 548 942
0 120 49 63
27 29 29 234
0 120 231 1006
0 120 628 642
0 120 278 300
0 120 451 457
3 6 27 309
97 100 27 309
0 120 761 762
37 38 29 764
0 120 991 995
0 1 4 936
93 95 4 936
0 120 115 129
0 120 463 467
25 25 22 953
119 119 22 953
66 66 23 540
0 120 0 822
0 120 201 812
0 120 965 979
0 120 528 941
76 76 33 590
0 120 809 811
0 120 0 413
0 120 758 765
0 120 78 1006
0 120 458 473
0 120 802 808
0 120 26 550
16 18 29 67
110 111 29 67
22 23 6 492
116 117 6 492
86 88 4 648
65 73 27 551
0 120 591 593
0 120 220 308
4 7 33 302
98 101 33 302
0 120 524 948
0 120 337 713
49 50 29 597
0 120 876 878
27 30 18 438
88 90 4 131
0 120 168 382
0 120 527 958
0 120 598 609
0 120 623 782
0 4 29 309
94 97 29 309
0 120 208 311
20 22 29 80
114 116 29 80
0 120 381 382
0 120 0 776
0 120 624 783
0 120 284 306
92 93 3 27
0 120 539 941
0 120 662 666
0 120 654 662
0 120 133 667
0 120 989 997
0 120 854 952
64 69 6 446
0 120 188 194
0 120 565 669
0 120 212 322
0 120 751 945
0 120 542 951
0 120 641 1073
0 120 184 196
54 55 2 39
0 120 1 223
0 120 834 835
77 80 23 507
37 37 27 1035
0 120 0 789
0 120 184 726
0 120 835 836
0 120 214 223
0 120 337 968
0 120 206 219
0 120 986 1005
53 57 21 439
0 120 149 1033
0 120 779 791
0 120 327 1039
0 120 602 606
45 49 11 510
0 64 33 269
69 120 33 269
0 120 901 902
0 120 305 319
0 120 612 619
0 120 623 628
0 120 548 863
0 120 254 273
0 120 239 1047
0 120 608 621
0 120 88 97
0 120 967 968
0 120 172 993
0 120 549 571
0 120 691 920
0 120 331 348
0 120 690 695
0 120 868 967
0 120 81 996
0 120 749 866
67 67 42 861
0 120 880 977
0 120 144 234
14 19 42 223
109 113 42 223
0 120 800 804
32 33 29 698
66 67 21 694
0 120 906 971
0 120 137 231
0 120 571 572
9 12 29 289
102 106 29 289
18 21 23 474
112 114 23 474
0 120 512 522
0 120 284 286
61 62 42 344
16 18 11 765
110 112 11 765
24 25 22 249
118 118 22 249
0 120 250 1047
9 10 32 299
103 103 32 299
57 61 6 426
0 91 6 17
93 120 6 17
54 54 42 236
0 120 236 1004
0 120 698 1035
0 120 973 974
24 24 4 883
0 120 634 641
0 120 176 995
0 120 334 349
20 23 23 487
114 116 23 487
0 120 218 317
15 21 4 65
23 27 4 65
29 32 4 65
109 111 4 65
118 120 4 65
0 120 709 1049
0 120 844 865
0 120 132 659
0 120 302 316
0 2 11 369
9 11 11 369
18 32 11 369
34 35 11 369
82 83 11 369
89 89 11 369
92 95 11 369
103 105 11 369
112 120 11 369
0 120 106 1015
64 66 21 648
15 17 15 488
108 110 15 488
0 120 171 1001
